CODICE;GIORNO;AUTORE;TITOLO EN;TITOLO IT;DATA;TECNICA;UBICAZIONE;FORMA;TIPO;PERIODO;IMMAGINE;WIKI_IT;WIKI_EN;WIKI_FR
E0002-RPA;6;EARLY CHRISTIAN PAINTER, Italian;Adam and Eve;Adamo ed Eva;late 3rd century;Fresco;Catacombs of Marcellinus and Peter, Rome;painting;religious;0251-0300;https://upload.wikimedia.org/wikipedia/commons/2/2c/CristoCatacombaSantiMarcellino_e_Pietro.jpg;https://it.wikipedia.org/wiki/Catacombe_dei_Santi_Marcellino_e_Pietro;https://en.wikipedia.org/wiki/Catacombs_of_Marcellinus_and_Peter;https://en.wikipedia.org/wiki/Catacombs_of_Marcellinus_and_Peter
E0003-RPA;14;EARLY CHRISTIAN PAINTER, Italian;The Good Shepherd;Il Buon Pastore;late 3rd century;Fresco;Catacombs of Marcellinus and Peter, Rome;painting;religious;0251-0300;https://upload.wikimedia.org/wikipedia/commons/5/53/The_Good_Shepherd%2C_Catacomb_of_Petrus_and_Marcellinus%2C_3rd_century_AD%2C_from_the_from_the_book_Die_Malereien_der_Katakomben_Roms%2C_pla_cropped_sharpenedmore.jpg;https://it.wikipedia.org/wiki/Catacombe_dei_Santi_Marcellino_e_Pietro;https://en.wikipedia.org/wiki/Catacombs_of_Marcellinus_and_Peter;https://en.wikipedia.org/wiki/Catacombs_of_Marcellinus_and_Peter
A0001-RPB;19;BOTTICELLI, Sandro;Temptations of Christ;Prove di Cristo;1481-82;Fresco, 345 x 555 cm;Cappella Sistina, Vatican;painting;religious;1451-1500;https://upload.wikimedia.org/wikipedia/commons/4/47/Sandro_Botticelli_036.jpg;https://it.wikipedia.org/wiki/Prove_di_Cristo;https://en.wikipedia.org/wiki/Temptations_of_Christ_(Botticelli);https://fr.wikipedia.org/wiki/La_Tentation_du_Christ_(Botticelli)
A0002-RPC;23;CARAVAGGIO;David with the Head of Goliath;Davide con la testa di Golia;1609-10;Oil on canvas, 125 x 101 cm;Galleria Borghese, Rome;painting;religious;1551-1600;https://upload.wikimedia.org/wikipedia/commons/f/f6/David_with_the_Head_of_Goliath-Caravaggio_%281610%29.jpg;https://it.wikipedia.org/wiki/Davide_con_la_testa_di_Golia_(Caravaggio_Roma);https://en.wikipedia.org/wiki/David_with_the_Head_of_Goliath_(Caravaggio,_Rome);https://fr.wikipedia.org/wiki/David_avec_la_t%C3%AAte_de_Goliath_(Le_Caravage,_Rome)
A0003-RPC;26;CARAVAGGIO;Mary Magdalene;Maria Maddalena in estasi;1596-97;Oil on canvas, 123 x 99 cm;Galleria Doria Pamphilj, Rome;painting;religious;1551-1600;https://upload.wikimedia.org/wikipedia/commons/e/ed/Mary_magdalene_caravaggio.jpg;https://it.wikipedia.org/wiki/Maria_Maddalena_in_estasi;https://en.wikipedia.org/wiki/Mary_Magdalen_in_Ecstasy;https://fr.wikipedia.org/wiki/Marie_Madeleine_en_extase_(Le_Caravage)
A0004-RPC;29;CARAVAGGIO;The Conversion on the Way to Damascus;Conversione di Saulo;1600-01;Oil on canvas, 230 x 175 cm;Cerasi Chapel, Santa Maria del Popolo, Rome;painting;religious;1551-1600;https://upload.wikimedia.org/wikipedia/commons/6/67/Conversion_on_the_Way_to_Damascus-Caravaggio_%28c.1600-1%29.jpg;https://it.wikipedia.org/wiki/Conversione_di_san_Paolo_(Caravaggio);https://en.wikipedia.org/wiki/Conversion_on_the_Way_to_Damascus;https://fr.wikipedia.org/wiki/La_Conversion_de_saint_Paul_(Le_Caravage)#Second_tableau
A0005-RPB;32;GENTILE DA FABRIANO;Annunciation;Annunciazione;c. 1425;Tempera and gold leaf on wood, 41 x 48 cm;Pinacoteca, Vatican;painting;religious;1351-1400;https://upload.wikimedia.org/wikipedia/commons/e/e6/Gentile_da_Fabriano_079.jpg;https://it.wikipedia.org/wiki/Annunciazione_%28Gentile_da_Fabriano%29;https://en.wikipedia.org/wiki/Gentile_da_Fabriano;https://fr.wikipedia.org/wiki/Gentile_da_Fabriano
A0008-RPB;34;LIPPI, Filippino;Annunciation;Annunciazione;1489-91;Fresco;Santa Maria sopra Minerva, Rome;painting;religious;1451-1500;https://upload.wikimedia.org/wikipedia/commons/f/fb/Cappalla_carafa_07_annunciazione.jpg;https://it.wikipedia.org/wiki/Cappella_Carafa;https://en.wikipedia.org/wiki/Carafa_Chapel;https://fr.wikipedia.org/wiki/Chapelle_Carafa
A0010-RPC;36;MICHELANGELO Buonarroti;Creation of Adam;La Creazione di Adamo;1510;Fresco, 280 x 570 cm;Cappella Sistina, Vatican;painting;religious;1501-1550;https://upload.wikimedia.org/wikipedia/commons/e/e0/Creaci%C3%B3n_de_Ad%C3%A1n.jpg;https://it.wikipedia.org/wiki/Creazione_di_Adamo;https://en.wikipedia.org/wiki/The_Creation_of_Adam;https://fr.wikipedia.org/wiki/La_Cr%C3%A9ation_d%27Adam_(Michel-Ange)
A0011-RPC;38;MICHELANGELO Buonarroti;Last Judgment;Il Giudizio Universale;1537-41;Fresco;Cappella Sistina, Vatican;painting;religious;1501-1550;https://upload.wikimedia.org/wikipedia/commons/a/a5/Michelangelo%2C_Giudizio_Universale_02.jpg;https://it.wikipedia.org/wiki/Giudizio_universale_(Michelangelo);https://en.wikipedia.org/wiki/The_Last_Judgment_(Michelangelo);https://fr.wikipedia.org/wiki/Le_Jugement_dernier_(Michel-Ange)
